id,timestamp,respondent_sex,respondent_age,fragrance_gender,,top_note,middle_note,base_note,time_on_page
3,3/4/2026 11:58,10.51.23.156,M,18,masculine,Fresh,Herbs & Spices,Woody,26
4,3/4/2026 12:23,10.51.19.89,F,18,feminine,Fresh,Fruits,Sandalwood,26
5,3/4/2026 12:26,10.51.18.154,M,18,masculine,Citrus,Woody,Woody,137
6,3/4/2026 12:32,10.51.20.92,M,17,masculine,Herbs & Spices,Bourbon,Vanilla,17
5,3/4/2026 12:55,10.51.17.165,F,,feminine,Fruits,Floral,Vanilla,66
6,3/4/2026 12:56,10.51.17.165,F,17,feminine,Fresh,Fresh,Clean,24
7,3/4/2026 12:59,10.51.17.165,M,18,masculine,Herbs & Spices,Woody,Sandalwood,29
8,3/4/2026 13:00,10.51.17.165,M,18,unisex,Fresh,Herbs & Spices,Woody,25
9,3/4/2026 13:30,10.51.20.240,M,18,masculine,Fresh,Bourbon,Sandalwood,14
10,3/4/2026 13:32,10.51.20.240,M,18,masculine,Fresh,Woody,Vanilla,81
11,3/4/2026 13:34,10.51.21.211,F,18,feminine,Fresh,Floral,Clean,72
12,3/4/2026 13:35,10.51.21.211,F,,feminine,Citrus,Floral,Vanilla,39
13,3/4/2026 13:35,10.51.21.211,M,,masculine,Herbs & Spices,Woody,Sandalwood,7
14,3/4/2026 13:35,10.51.21.211,M,,masculine,Herbs & Spices,Bourbon,Woody,12
15,2026-03-04 14:04:04,10.51.20.9,M,18,masculine,Citrus,Fresh,Sandalwood,15
16,2026-03-04 14:09:42,10.51.20.92,M,17,masculine,Herbs & Spices,Woody,Vanilla,20
17,2026-03-04 14:10:18,10.51.22.180,M,18,masculine,Fresh,Woody,Vanilla,12
18,2026-03-04 14:16:31,10.51.20.240,F,18,feminine,Fruits,Floral,Vanilla,29
19,2026-03-04 14:16:46,10.51.20.240,M,,masculine,Herbs & Spices,Bourbon,Vanilla,14
20,2026-03-04 14:20:15,10.51.23.104,M,17,masculine,Herbs & Spices,Woody,Woody,62
21,2026-03-04 14:22:21,10.51.20.9,M,18,masculine,Citrus,Woody,Sandalwood,17
22,2026-03-04 14:23:01,10.51.20.92,M,16,unisex,Citrus,Floral,Clean,20
23,2026-03-04 14:23:09,10.51.20.9,M,50,masculine,Citrus,Fresh,Sandalwood,16
24,2026-03-04 14:23:26,10.51.20.92,M,,masculine,Fresh,Bourbon,Sandalwood,14
25,2026-03-04 14:23:44,10.51.20.92,F,,feminine,Herbs & Spices,Bourbon,Woody,12
26,2026-03-04 14:24:11,10.51.20.9,F,18,feminine,Citrus,Fruits,Clean,50
27,2026-03-04 14:32:08,10.51.20.240,M,,masculine,Herbs & Spices,Woody,Woody,40
28,2026-03-04 14:38:50,10.51.20.92,M,,unisex,Fresh,Bourbon,Vanilla,28
29,2026-03-04 14:40:31,10.51.20.92,F,,masculine,Herbs & Spices,Woody,Vanilla,12
30,2026-03-04 14:44:52,10.51.20.92,F,,feminine,Herbs & Spices,Woody,Vanilla,245
31,2026-03-04 14:45:35,127.0.0.1,M,,masculine,Herbs & Spices,Woody,Woody,87
32,2026-03-04 14:47:49,127.0.0.1,M,,feminine,Citrus,Fruits,Clean,9
33,2026-03-04 14:48:55,127.0.0.1,M,,masculine,Fresh,Gourmand,Vanilla,48
