fragrance,sex,top_notes,middle_notes,base_notes,price,stars
Prada Paradigm,Masculine,Herbs & Spices,Woody,Sandalwood,$120.00 ,3.5/5
Prada Paradoxe,Feminine,Citrus,Floral,Vanilla,$140.00 ,3.8/5
Creed Aventus,Masculine,Fruits,Fresh,Sandalwood,$380.00 ,4.3/5
Aqua di Gio,Masculine,Citrus,Fresh,Sandalwood,$98.00 ,4.0/5
YSL MYSLF,Masculine,Fresh,Bourbon,Clean,$105.00 ,4.0/5
Polo Earth,Masculine,Herbs & Spices,Woody,Sandalwood,$92.00 ,3.6/5
Maison Margiela,Unisex,Fruits,Floral,Clean,$72.00 ,3.9/5
YSL Libre,Feminine,Citrus,Floral,Vanilla,$130.00 ,3.9/5
Valentino Born in Roma Donna,Feminine,Fruits,Floral,Vanilla,$160.00 ,3.9/5
Valentino Born in Roma Uomo,Masculine,Fresh,Herbs & Spices,Woody,$102.00 ,3.8/5
Lancôme Idôle,Feminine,Fruits,Floral,Vanilla,$124.00 ,3.8/5
Azzaro Wanted,Masculine,Citrus,Fruits,Woody,$89.00 ,3.8/5
Armani Stronger With You,Masculine,Amber,Fresh,Vanilla,$88.00 ,4.0/5
Lancôme La Vie Est Belle,Feminine,Fruits,Floral,Vanilla,$120.00 ,4.1/5
Viktor & Rolf Flowerbomb,Feminine,Citrus,Floral,Vanilla,$165.00 ,3.9/5
Azzaro The Most Wanted,Masculine,Herbs & Spices,Gourmand,Woody,$89.00 ,4.6/5
YSL Black Opium,Feminine,Fruits,Gourmand,Vanilla,$130.00 ,3.9/5
YSL Mon Paris,Feminine,Fruits,Floral,Woody,$130.00 ,3.9/5
Acqua di Gio Profondo,Masculine,Fresh,Herbs & Spices,Woody,$160.00 ,3.9/5
Armani Code Parfum,Masculine,Citrus,Floral,Woody,$128.00 ,4.1/5
Lancôme La Nuit Trésor,Feminine,Fruits,Floral,Vanilla,$120.00 ,4.1/5
Viktor & Rolf Spicebomb,Masculine,Citrus,Herbs & Spices,Woody,$110.00 ,4.0/5
Viktor & Rolf Spicebomb Extreme,Masculine,Herbs & Spices,Herbs & Spices,Vanilla,$140.00 ,4.4/5
Armani Sì,Feminine,Citrus,Floral,Vanilla,$110.00 ,3.9/5
Azzaro Wanted by Night,Masculine,Herbs & Spices,Woody,Vanilla,$89.00 ,4.2/5
Prada Luna Rossa Ocean,Masculine,Fresh,Fresh,Woody,$98.00 ,3.7/5
Lancôme Trésor,Feminine,Fruits,Floral,Vanilla,$112.00 ,4.1/5
Aesop Hwyl,Unisex,Herbs & Spices,Woody,Woody,$195.00 ,4.1/5
Maison Margiela Replica Jazz Club,Masculine,Herbs & Spices,Herbs & Spices,Vanilla,$72.00 ,4.0/5
Orientica Royal Amber,Masculine,Amber,Woody,Woody,$140.00 ,4.3/5
